Category,Subcategory,Journal,Journal_cleaned,Subcategory_cleaned,Category_cleaned
"Business, Economics & Management",Educational Administration,Journal of Educational Administration,journalofeducationaladministration,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Phi Delta Kappan,phideltakappan,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Education & Urban Society,educationurbansociety,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,School Effectiveness and School Improvement,schooleffectivenessandschoolimprovement,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,School Leadership and Management,schoolleadershipandmanagement,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Community College Review,communitycollegereview,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Leadership and Policy in Schools,leadershipandpolicyinschools,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,International Studies in Educational Administration (Commonwealth Council for Educational Administration & Management (CCEAM)),internationalstudiesineducationaladministrationcommonwealthcouncilforeducationaladministrationmanagementcceam,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Educational Assessment Evaluation and Accountability,educationalassessmentevaluationandaccountability,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Journal of School Leadership,journalofschoolleadership,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Educational Leadership,educationalleadership,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,The Rural Educator,theruraleducator,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Arts Education Policy Review,artseducationpolicyreview,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,International Journal of Disaster Risk Reduction,internationaljournalofdisasterriskreduction,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Natural Hazards,naturalhazards,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Disaster Medicine and Public Health Preparedness,disastermedicineandpublichealthpreparedness,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Natural Hazards & Earth System Sciences,naturalhazardsearthsystemsciences,emergencymanagement,businesseconomicsmanagement
